County,State,"April 1, 1990 Population Estimates Base","July 1, 1990 Estimate",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Upson,Georgia,"26,300","26,329","26,321","26,409","26,574","26,817","27,029","27,171","27,455","27,398","27,473","27,597"
Walker,Georgia,"58,310","58,313","58,546","58,700","58,737","58,869","59,481","59,956","60,632","60,888","60,960","61,053"
Walton,Georgia,"38,586","38,757","39,832","40,552","42,402","44,697","46,772","49,117","51,212","54,383","58,160","60,687"
Ware,Georgia,"35,471","35,456","35,551","35,840","35,872","35,736","35,805","35,592","35,777","35,612","35,570","35,483"
Warren,Georgia,"6,078","6,079","6,122","6,099","6,175","6,182","6,209","6,188","6,252","6,362","6,375","6,336"
Washington,Georgia,"19,112","19,183","19,406","19,666","19,891","20,135","20,321","20,429","20,755","20,865","21,026","21,176"
Wayne,Georgia,"22,356","22,463","23,284","23,889","24,097","24,334","24,927","25,067","25,480","25,981","26,340","26,565"
Webster,Georgia,"2,263","2,263","2,266","2,263","2,276","2,312","2,335","2,316","2,386","2,339","2,368","2,390"
Wheeler,Georgia,"4,903","4,952","5,063","5,109","5,301","5,355","5,475","5,748","5,974","6,006","6,111","6,179"
White,Georgia,"13,006","13,114","13,532","14,087","14,399","14,978","15,907","16,788","17,688","18,501","19,303","19,944"
Whitfield,Georgia,"72,462","72,613","73,128","73,825","74,859","76,680","78,122","79,338","80,668","81,376","82,505","83,525"
Wilcox,Georgia,"7,008","7,020","7,158","7,246","7,365","7,548","7,754","7,965","8,171","8,324","8,515","8,577"
Wilkes,Georgia,"10,597","10,584","10,619","10,708","10,708","10,663","10,707","10,709","10,806","10,766","10,708","10,687"
Wilkinson,Georgia,"10,228","10,240","10,134","10,096","10,182","10,095","10,175","10,253","10,165","10,182","10,212","10,220"
Worth,Georgia,"19,744","19,741","19,920","20,287","20,625","20,965","21,206","21,692","21,990","22,078","22,067","21,967"
