GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0500000US13033,13033,United States - Georgia - Burke County,Burke County,23316,9865,834.98,8.02,826.97,28.2,11.9
0100000US,,United States,0500000US13035,13035,United States - Georgia - Butts County,Butts County,23655,9357,188.04,3.65,184.39,128.3,50.7
0100000US,,United States,0500000US13037,13037,United States - Georgia - Calhoun County,Calhoun County,6694,2409,283.58,3.21,280.37,23.9,8.6
0100000US,,United States,0500000US13039,13039,United States - Georgia - Camden County,Camden County,50513,21114,781.86,168.84,613.03,82.4,34.4
0100000US,,United States,0500000US13043,13043,United States - Georgia - Candler County,Candler County,10998,4761,248.86,5.81,243.04,45.3,19.6
0100000US,,United States,0500000US13045,13045,United States - Georgia - Carroll County,Carroll County,110527,44607,503.84,4.76,499.08,221.5,89.4
0100000US,,United States,0500000US13047,13047,United States - Georgia - Catoosa County,Catoosa County,63942,26606,162.46,0.30,162.16,394.3,164.1
0100000US,,United States,0500000US13049,13049,United States - Georgia - Charlton County,Charlton County,12171,4475,782.37,8.80,773.58,15.7,5.8
0100000US,,United States,0500000US13051,13051,United States - Georgia - Chatham County,Chatham County,265128(r41131),119323(r17733),632.26,205.83,426.44,621.7,279.8
0100000US,,United States,0500000US13053,13053,United States - Georgia - Chattahoochee County,Chattahoochee County,11267,3376,251.17,2.43,248.74,45.3,13.6
0100000US,,United States,0500000US13055,13055,United States - Georgia - Chattooga County,Chattooga County,26015,10977,313.56,0.22,313.34,83.0,35.0
0100000US,,United States,0500000US13057,13057,United States - Georgia - Cherokee County,Cherokee County,214346,82360,434.41,12.73,421.67,508.3,195.3
0100000US,,United States,0500000US13059,13059,United States - Georgia - Clarke County,Clarke County,116714,51068,121.04,1.83,119.20,979.1,428.4
0100000US,,United States,0500000US13061,13061,United States - Georgia - Clay County,Clay County,3183,2102,217.23,21.85,195.38,16.3,10.8
0100000US,,United States,0500000US13063,13063,United States - Georgia - Clayton County,Clayton County,259424,104705,144.33,2.76,141.57,1832.5,739.6
0100000US,,United States,0500000US13065,13065,United States - Georgia - Clinch County,Clinch County,6798,3007,823.99,23.77,800.22,8.5,3.8
0100000US,,United States,0500000US13067,13067,United States - Georgia - Cobb County,Cobb County,688078,286490,344.52,4.97,339.55,2026.4,843.7
0100000US,,United States,0500000US13069,13069,United States - Georgia - Coffee County,Coffee County,42356,17061,602.65,27.55,575.10,73.7,29.7
0100000US,,United States,0500000US13071,13071,United States - Georgia - Colquitt County,Colquitt County,45498,18311,556.64,12.49,544.15,83.6,33.7
0100000US,,United States,0500000US13073,13073,United States - Georgia - Columbia County,Columbia County,124053,48626,307.60,17.51,290.09,427.6,167.6
0100000US,,United States,0500000US13075,13075,United States - Georgia - Cook County,Cook County,17212,7287,233.20,6.04,227.16,75.8,32.1
0100000US,,United States,0500000US13077,13077,United States - Georgia - Coweta County,Coweta County,127317,50171,445.82,4.92,440.89,288.8,113.8
0100000US,,United States,0500000US13079,13079,United States - Georgia - Crawford County,Crawford County,12630,5292,326.45,1.57,324.89,38.9,16.3
0100000US,,United States,0500000US13081,13081,United States - Georgia - Crisp County,Crisp County,23439,10734,280.95,8.37,272.58,86.0,39.4
0100000US,,United States,0500000US13083,13083,United States - Georgia - Dade County,Dade County,16633,7305,174.16,0.18,173.98,95.6,42.0
0100000US,,United States,0500000US13085,13085,United States - Georgia - Dawson County,Dawson County,22330,10425,214.41,3.58,210.83,105.9,49.4
0100000US,,United States,0500000US13087,13087,United States - Georgia - Decatur County,Decatur County,27842,12125,623.17,26.03,597.14,46.6,20.3
0100000US,,United States,0500000US13089,13089,United States - Georgia - DeKalb County,DeKalb County,691893(r41183),304968(r17781),271.14,3.56,267.58,2585.7,1139.7
0100000US,,United States,0500000US13091,13091,United States - Georgia - Dodge County,Dodge County,21796,9857,503.11,7.22,495.89,44.0,19.9
0100000US,,United States,0500000US13093,13093,United States - Georgia - Dooly County,Dooly County,14918,6328,397.28,5.34,391.94,38.1,16.1
